Topic,Category,Notes
consider,-,
mackerel,species,
yellow,-,
alien,ecology,
skate,species,
zone,spatial,
shrinkage,assmt,
grenadier,species,
environment,ecology,
smolt smolt,salmonid,smolt
tusk,species,
division,spatial,
risk,method,
hawg report,wg,hawg
condition,-,
nwwg,wg,
level,-,
issue,-,
large,-,
mm,-,
small,-,
biological,-,
programme,-,
trend,-,
trawl,gear,
prediction,method,
recruitment,assmt,
rate,-,
cephalopod,species,
blue,-,
index,-,
sub,-,
section,-,
wgms,wg,
new,-,
net,gear,
method,-,
wbss,wg,
exchange,-,
commercial,-,
residual,method,
wgbast,wg,
water,-,
herr,-,
change,-,
great,-,
northern,-,
institute,-,
study,-,
survey,survey,
mussel,species,
fbar,assmt,
spawner,assmt,
na na,-,
decrease,-,
year class,attribute,
age year,attribute,age
total,-,
establish,-,
unit,-,
capelin,species,
use,-,
catchability,assmt,
working,-,
fishing mortality,assmt,
france,country,
silver eel,species,
prey,ecology,
crab,species,
pfa,-,
bycatch,bycatch,
horse mackerel,species,
sea trout,species,
glass,-,
adult,-,
effort,assmt,
abundance,assmt,
high,-,
pout,species,
science,-,
work,-,
wgcse,wg,
biological effect,-,
shark,species,
weight age,attribute,weight
figure,-,
process,-,
sample,data,
tag,domain,
tac,assmt,
species,-,
native,ecology,
monitoring,survey,
provide,-,
american,country,
chemical,ecology,
wgnssk report,wg,
iiia,-,
viiic,-,
map,spatial,
may,-,
max,-,
advice,assmt,
southern,-,
mapping,spatial,
collection,data,
tor,-,
mesh,gear,
hawg,wg,
wgef report,wg,
data,data,
ice wgdeep,wg,wgdeep
beam,gear,
wgnas report,wg,wgnas
sandeel,species,
egg,eggs,
sd,method,
plaice,species,
interpretation,-,
report table,-,
bothnia,sea,
fit,method,
recreational,domain,
age reading,otolith,
production,-,
age determination,otolith,
main,-,
norway,country,
non,-,
return,-,
food,-,
ibts,survey,
introduce,-,
half,-,
silver,-,
term,-,
wgbec,wg,
fisherman,domain,
acoustic,survey,
quarter,-,
mean,-,
status,-,
female,-,
weight,attribute,
series,-,
ice hawg,wg,hawg
et,-,
hcr,assmt,
baltic sea,sea,
research,-,
increase,-,
reader,otolith,
reader reader,otolith,reader
evaluation,-,
ice wgwide,wg,wgwide
emp,-,
bass,species,
age age,attribute,age
ospar,ecology,
smolt production,salmonid,
marine,-,
pgccdbs,otolith,
organic,ecology,
nephrop,species,
finland,country,
bird,ecology,
length,attribute,
egg production,eggs,
baltic,sea,
south,-,
probability,method,
beam trawl,gear,
carry,-,
ring,-,
cpue,assmt,
quality,-,
size,-,
horse,species,horse mackerel
management,-,
temperature,ecology,
eifaac,ecology,
introduction,-,
system,-,
station,spatial,
white,-,
anguilla,species,
gear,gear,
season,-,
biomass,assmt,
environmental,ecology,
parr,salmonid,
wgacegg,wg,
july,-,
population,-,
ice nwwg,wg,nwwg
target,-,
year age,attribute,age
project,-,
sweden,country,
nephrops,species,
need,-,
concentration,-,
ray,species,
otolith,otolith,
egg survey,eggs,
min,-,
potential,-,
channel,sea,
bay biscay,sea,
iceland,country,
salmon,salmonid,
plan,-,
class,-,
kg,-,
north sea,sea,
average,-,
metal,ecology,
disease,ecology,
acoustic survey,survey,
ext,-,
western,-,
show,-,
raja,species,
contaminant,ecology,
ling,species,
barents sea,sea,
find,-,
impact,ecology,
indicator,ecology,
northeast,-,
ratio,-,
shellfish,species,
gulf,sea,
mentella,species,
mortality,assmt,
modal age,otolith,
de,-,
coast,-,
joint,-,
half year,-,
international,-,
ssb,assmt,
yield,assmt,
bay,sea,
emu,-,
common,-,
activity,-,
release,-,
river,-,
sediment,ecology,
set,-,
reference,assmt,reference point
national,-,
redfish,species,
ice wgbfas,wg,wgbfas
age reader,otolith,
seal,ecology,
working group,-,
maturity,attribute,
review,-,
sub division,spatial,
wgdeep,wg,
forecast,assmt,
mcwg,wg,
reading,otolith,
approach,-,
wgmhsa,wg,
wg,-,
uk,country,
sole,species,
pelagic,-,
wr,-,
ice wgitmo,wg,wgitmo
sprat,species,
ice wgnas,wg,wgnas
country,-,
annual,-,
cod,species,
wgitmo,wg,
cm,-,
point,assmt,reference point
invasive,ecology,
period,-,
community,ecology,
sampling,data,
vessel,-,
table,-,
cv,method,
pp,-,
raise,-,
west,-,
longline,gear,
extraction,-,
the barents sea,sea,
workshop,-,
basin,-,
meeting,-,
demersal,-,
ballast,ecology,
precision,-,
determination,otolith,age determination
catch,assmt,
spain,country,
neac,species,
depm,eggs,
wgeel report,wg,wgeel
value,-,
wild,aquaculture,
fleet,-,
wgnas,wg,
et al,-,
spawn,assmt,
vb,-,
portugal,country,
vi,-,
squid,species,
site,spatial,
iv,-,
bias,method,
wgpdmo,wg,
different,-,
develop,-,
wgbast report,wg,wgbast
pah,ecology,
norway pout,species,
european,-,
nwwg report,wg,nwwg
roundnose,species,
arctic,sea,
effect,-,
norwegian,country,
fecundity,eggs,
recent,-,
estimation,method,
scenario,-,
analysis,-,
model,method,
wgdeep report,wg,wgdeep
compound,ecology,
obtain,-,
elasmobranch,species,
identify,-,
fishing,-,
yes,-,
biscay,sea,
icelandic,country,
density,-,
the north sea,sea,
lake,-,
day,-,
passive,-,
adc,-,
east,-,
wgwide,wg,
vii,-,
read,otolith,
survival,-,
haul,survey,
yes yes,-,
autumn,-,
wgwide report,wg,wgwide
specie,-,
wgbfas report,wg,wgbfas
subarea,spatial,
eel,species,
xsa,assmt,
barents,sea,
atlantic mackerel,species,
ice wgbast,wg,wgbast
greenland,country,
habitat,ecology,
glass eel,species,
spring,-,
sea herring,species,herring
growth,-,
scale,-,
herring,species,
flounder,species,
half half,-,
trout,salmonid,
run,-,
journal,-,
wgef,wg,
ice wgnssk,wg,wgnssk
agreement,-,
wgitmo report,wg,wgitmo
stage,-,
adipose,-,
simulation,method,
msw,salmonid,
range,-,
aquaculture,aquaculture,
modal,otolith,
discard,bycatch,
seabird,ecology,
image,otolith,
wgeel,wg,
coastal,-,
log,method,
ixa,-,
genetic,method,
smolt,salmonid,
conservation,ecology,
development,-,
low,-,
var,method,
spawning,assmt,
blue white,species,
north,-,
wgbfas,wg,
landing,-,
fisheries,-,
anchovy,species,
atlantic,sea,
russian,country,
ecosystem,ecology,
record,data,
limit,-,
mature,assmt,
distribution,spatial,
irish,sea,
labrador,sea,
int,-,
al,-,
deep,-,
laboratory,-,
trip,data,
yellow eel,species,
na,-,
annex,-,
june,-,
atlantic salmon,salmonid,
wgnssk,wg,
structure,-,
sardine,species,
subdivision,spatial,
age,attribute,
rule,assmt,
depth,-,
validation,method,
deep water,-,
